,$,self,id,and,div,mult,or,minus,plus,gteq,lteq,gt,lt,neq,eq,assign,colon,comma,void,float,int,rsqbr,intlit,lsqbr,rpar,lpar,dot,not,floatlit,rcurbr,lcurbr,semi,return,write,read,while,else,then,if,local,attribute,constructor,arrow,function,private,public,implementation,isa,class
START,START → PROG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,START → PROG,,START → PROG,,,START → PROG,,START → PROG
PROG,PROG → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROG → CLASSIMPLFUNC PROG,,PROG → CLASSIMPLFUNC PROG,,,PROG → CLASSIMPLFUNC PROG,,PROG → CLASSIMPLFUNC PROG
CLASSIMPLFUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSIMPLFUNC → FUNCDEF,,CLASSIMPLFUNC → FUNCDEF,,,CLASSIMPLFUNC → IMPLDEF,,CLASSIMPLFUNC → CLASSDECL
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL → class id ISA1 lcurbr VISMEMBERDECL rcurbr semi
VISMEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISMEMBERDECL → &epsilon,,,,,,,,,,,,,,,VISMEMBERDECL → VISIBILITY MEMDECL VISMEMBERDECL,VISMEMBERDECL → VISIBILITY MEMDECL VISMEMBERDECL,,,
ISA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISA1 → &epsilon,,,,,,,,,,,,,,,,,ISA1 → isa id ISA2,
ISA2,,,,,,,,,,,,,,,,,,ISA2 → comma id ISA2,,,,,,,,,,,,,ISA2 → &epsilon,,,,,,,,,,,,,,,,,,
IMPLDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPLDEF → implementation id lcurbr IMPLBODY rcurbr,,
IMPLBODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPLBODY → &epsilon,,,,,,,,,,,,IMPLBODY → FUNCDEF IMPLBODY,,IMPLBODY → FUNCDEF IMPLBODY,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY,,FUNCDEF → FUNCHEAD FUNCBODY,,,,,
VISIBILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISIBILITY → private,VISIBILITY → public,,,
MEMDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMDECL → ATTRDECL,MEMDECL → FUNCDECL,,MEMDECL → FUNCDECL,,,,,
FUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDECL → FUNCHEAD semi,,FUNCDECL → FUNCHEAD semi,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → constructor lpar FPARAMS rpar,,FUNCHEAD → function id lpar FPARAMS rpar arrow RETURNTYPE,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr LOCALVARDECLORSTAT2 rcurbr,,,,,,,,,,,,,,,,,,
LOCALVARDECLORSTAT,,LOCALVARDECLORSTAT → STATEMENT,LOCALVARDECLORSTAT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECLORSTAT → STATEMENT,LOCALVARDECLORSTAT → STATEMENT,LOCALVARDECLORSTAT → STATEMENT,LOCALVARDECLORSTAT → STATEMENT,,,LOCALVARDECLORSTAT → STATEMENT,LOCALVARDECLORSTAT → LOCALVARDECL,,,,,,,,,
LOCALVARDECLORSTAT2,,LOCALVARDECLORSTAT2 → LOCALVARDECLORSTAT LOCALVARDECLORSTAT2,LOCALVARDECLORSTAT2 → LOCALVARDECLORSTAT LOCALVARDECLORSTAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECLORSTAT2 → &epsilon,,,LOCALVARDECLORSTAT2 → LOCALVARDECLORSTAT LOCALVARDECLORSTAT2,LOCALVARDECLORSTAT2 → LOCALVARDECLORSTAT LOCALVARDECLORSTAT2,LOCALVARDECLORSTAT2 → LOCALVARDECLORSTAT LOCALVARDECLORSTAT2,LOCALVARDECLORSTAT2 → LOCALVARDECLORSTAT LOCALVARDECLORSTAT2,,,LOCALVARDECLORSTAT2 → LOCALVARDECLORSTAT LOCALVARDECLORSTAT2,LOCALVARDECLORSTAT2 → LOCALVARDECLORSTAT LOCALVARDECLORSTAT2,,,,,,,,,
ATTRDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTRDECL → attribute VARDECL,,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → local VARDECL,,,,,,,,,
VARDECL,,,VARDECL → id colon TYPE ARRAYSIZES semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,STATEMENT → FUNCALLORASSIGN semi,STATEMENT → FUNCALLORASSIGN semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENT → return lpar EXPR rpar semi,STATEMENT → write lpar EXPR rpar semi,STATEMENT → read lpar VARIABLE rpar semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK semi,,,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi,,,,,,,,,,
FUNCALLORASSIGN,,FUNCALLORASSIGN → IDORSELF FUNCALLORASSIGN2,FUNCALLORASSIGN → IDORSELF FUNCALLORASSIGN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCALLORASSIGN2,,,,,,,,,,,,,,,,FUNCALLORASSIGN2 → INDICES FUNCALLORASSIGN3,,,,,,,,FUNCALLORASSIGN2 → INDICES FUNCALLORASSIGN3,,FUNCALLORASSIGN2 → lpar APARAMS rpar FUNCALLORASSIGN4,FUNCALLORASSIGN2 → INDICES FUNCALLORASSIGN3,,,,,,,,,,,,,,,,,,,,,,
FUNCALLORASSIGN3,,,,,,,,,,,,,,,,FUNCALLORASSIGN3 → ASSIGNOP EXPR,,,,,,,,,,,FUNCALLORASSIGN3 → dot id FUNCALLORASSIGN2,,,,,,,,,,,,,,,,,,,,,,
FUNCALLORASSIGN4,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCALLORASSIGN4 → dot id FUNCALLORASSIGN2,,,,,FUNCALLORASSIGN4 → &epsilon,,,,,,,,,,,,,,,,,
STATBLOCK,,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATBLOCK → lcurbr STATEMENTS rcurbr,STATBLOCK → &epsilon,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,,,,,,,,,
STATEMENTS,,STATEMENTS → STATEMENT STATEMENTS,STATEMENTS → STATEMENT STATEMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTS → &epsilon,,,STATEMENTS → STATEMENT STATEMENTS,STATEMENTS → STATEMENT STATEMENTS,STATEMENTS → STATEMENT STATEMENTS,STATEMENTS → STATEMENT STATEMENTS,,,STATEMENTS → STATEMENT STATEMENTS,,,,,,,,,,
EXPR,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,,,EXPR → ARITHEXPR EXPR2,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,,,,
EXPR2,,,,,,,,,,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,,,EXPR2 → &epsilon,,,,,,,EXPR2 → &epsilon,,,,,,,EXPR2 → &epsilon,,,,,,,,,,,,,,,,,
RELEXPR,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,RIGHTRECARITHEXPR → &epsilon,,,,RIGHTRECARITHEXPR → &epsilon,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,,,,,,,
SIGN,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,,,TERM → FACTOR RIGHTRECTERM,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,,,
RIGHTRECTERM,,,,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,,RIGHTRECTERM → &epsilon,,,,RIGHTRECTERM → &epsilon,,,RIGHTRECTERM → &epsilon,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,,,,,,,,,,
FACTOR,,FACTOR → IDORSELF FACTOR2 REPTVARIABLEORFUNCTIONCALL,FACTOR → IDORSELF FACTOR2 REPTVARIABLEORFUNCTIONCALL,,,,,FACTOR → SIGN FACTOR,FACTOR → SIGN FACTOR,,,,,,,,,,,,,,FACTOR → intlit,,,FACTOR → lpar ARITHEXPR rpar,,FACTOR → not FACTOR,FACTOR → floatlit,,,,,,,,,,,,,,,,,,,,
FACTOR2,,,,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → INDICES,,,FACTOR2 → INDICES,,,,FACTOR2 → INDICES,,FACTOR2 → INDICES,FACTOR2 → INDICES,FACTOR2 → lpar APARAMS rpar,FACTOR2 → INDICES,,,,,FACTOR2 → INDICES,,,,,,,,,,,,,,,,,
INDICES,,,,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,INDICES → &epsilon,,INDICES → &epsilon,,,,INDICES → &epsilon,,INDICES → INDICE INDICES,INDICES → &epsilon,,INDICES → &epsilon,,,,,INDICES → &epsilon,,,,,,,,,,,,,,,,,
REPTVARIABLEORFUNCTIONCALL,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → IDNEST REPTVARIABLEORFUNCTIONCALL,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,,,,,,,,,,
VARIABLE,,VARIABLE → IDORSELF VARIABLE2,VARIABLE → IDORSELF VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE2 → INDICES REPTVARIABLE,VARIABLE2 → INDICES REPTVARIABLE,VARIABLE2 → lpar APARAMS rpar VARIDNEST,VARIABLE2 → INDICES REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,REPTVARIABLE → &epsilon,,REPTVARIABLE → VARIDNEST REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST → dot id VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST2 → INDICES,VARIDNEST2 → INDICES,VARIDNEST2 → lpar APARAMS rpar VARIDNEST,VARIDNEST2 → INDICES,,,,,,,,,,,,,,,,,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,IDNEST → dot id IDNEST2,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → INDICES,,,IDNEST2 → INDICES,,,,IDNEST2 → INDICES,,IDNEST2 → INDICES,IDNEST2 → INDICES,IDNEST2 → lpar APARAMS rpar,IDNEST2 → INDICES,,,,,IDNEST2 → INDICES,,,,,,,,,,,,,,,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 → rsqbr,ARRAYSIZE2 → intlit rsqbr,,,,,,,,,,,,,,,,,,,,,,,,,,
ARRAYSIZES,,,,,,,,,,,,,,,,,,ARRAYSIZES → &epsilon,,,,,,ARRAYSIZES → ARRAYSIZE ARRAYSIZES,ARRAYSIZES → &epsilon,,,,,,,ARRAYSIZES → &epsilon,,,,,,,,,,,,,,,,,
TYPE,,,TYPE → id,,,,,,,,,,,,,,,,,TYPE → float,TYPE → int,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETURNTYPE,,,RETURNTYPE → TYPE,,,,,,,,,,,,,,,,RETURNTYPE → void,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARAMS,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMS,,,FPARAMS → id colon TYPE ARRAYSIZES REPTFPARAMS1,,,,,,,,,,,,,,,,,,,,,,FPARAMS → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMS1,,,,,,,,,,,,,,,,,,REPTFPARAMS1 → FPARAMSTAIL REPTFPARAMS1,,,,,,,REPTFPARAMS1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id colon TYPE ARRAYSIZES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSIGNOP,,,,,,,,,,,,,,,,ASSIGNOP → assign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELOP,,,,,,,,,,RELOP → gteq,RELOP → lteq,RELOP → gt,RELOP → lt,RELOP → neq,RELOP → eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDOP,,,,,,,ADDOP → or,ADDOP → minus,ADDOP → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULTOP,,,,MULTOP → and,MULTOP → div,MULTOP → mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDORSELF,,IDORSELF → self,IDORSELF → id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,